"variable","mean","sd"
"Interest_mean",3.87238095238095,3.37666666666667
"Employment_mean",4.29,4.15111111111111
"Learning_mean",4.11666666666667,3.94060606060606
"Research_mean",5.62,0.433858934804066
"Status_mean",0.287821408708529,0.314738625981248
"HAS_total_mean",0.43278517500683,0.438945757555603
"MCSD_total",0.289639669850618,1.77480502757515
